tweets,user.time,system.time,total.time,kind
12,0.45,0.04,0.495,heap
24,0.41,0.03,0.447,heap
59,0.42,0.03,0.492,heap
99,0.43,0.03,0.467,heap
198,0.45,0.03,0.493,heap
396,0.52,0.03,0.551,heap
792,0.64,0.03,0.678,heap
1584,0.94,0.03,1.016,heap
3169,1.77,0.03,1.815,heap
6339,3.52,0.06,3.647,heap
12679,7.65,0.10,7.906,heap
25359,17.76,0.18,18.270,heap
50718,41.14,0.40,42.312,heap
101436,90.73,0.78,93.22,heap
12,0.45,0.04,0.501,deq.insert
24,0.41,0.03,0.450,deq.insert
59,0.43,0.02,0.461,deq.insert
99,0.43,0.02,0.469,deq.insert
198,0.46,0.02,0.498,deq.insert
396,0.52,0.03,0.591,deq.insert
792,0.64,0.04,0.686,deq.insert
1584,0.94,0.03,0.988,deq.insert
3169,1.86,0.04,1.958,deq.insert
6339,3.69,0.07,3.831,deq.insert
12679,8.05,0.10,8.320,deq.insert
25359,19.02,0.20,19.571,deq.insert
50718,44.86,0.38,46.076,deq.insert
101436,99.40,0.76,102.03,deq.insert
12,0.45,0.03,0.495,deq.sort
24,0.41,0.03,0.484,deq.sort
59,0.42,0.03,0.460,deq.sort
99,0.44,0.02,0.471,deq.sort
198,0.45,0.03,0.497,deq.sort
396,0.51,0.03,0.558,deq.sort
792,0.66,0.02,0.696,deq.sort
1584,0.98,0.04,1.062,deq.sort
3169,1.97,0.04,2.031,deq.sort
6339,3.88,0.06,4.042,deq.sort
12679,8.61,0.07,8.853,deq.sort
25359,20.28,0.19,20.854,deq.sort
50718,49.41,0.42,50.735,deq.sort
101436,108.30,0.81,111.06,deq.sort
